Commodity,PriceList,StoreName
Premium Rice,62.00,Sample Stall 01
Regular Milled Rice,52.00,Sample Stall 01
Chicken Eggs Medium,110.00,Sample Stall 02
Chicken Eggs Large,123.00,Sample Stall 02
Duck Eggs,138.00,Sample Stall 02
Tomato,92.00,Sample Stall 03
Onion,146.00,Sample Stall 03
Potato,106.00,Sample Stall 03
Tilapia,204.00,Sample Stall 04
Galunggong,240.00,Sample Stall 04
Bangus,267.00,Sample Stall 04
Pork Liempo,435.00,Sample Stall 05
Beef Brisket,475.00,Sample Stall 05
Chicken Breast,248.00,Sample Stall 05
Premium Rice,61.00,Sample Stall 06
Regular Milled Rice,51.00,Sample Stall 06
Bangus,265.00,Sample Stall 07
Tilapia,201.00,Sample Stall 07
Onion,144.00,Sample Stall 08
Potato,104.00,Sample Stall 08
