Commodity,PriceList,StoreName
Premium Rice,55.00,Sample Stall 01
Regular Milled Rice,46.50,Sample Stall 01
Chicken Eggs Medium,99.00,Sample Stall 02
Chicken Eggs Large,111.00,Sample Stall 02
Duck Eggs,124.00,Sample Stall 02
Tomato,85.00,Sample Stall 03
Onion,134.00,Sample Stall 03
Potato,98.00,Sample Stall 03
Tilapia,184.00,Sample Stall 04
Galunggong,220.00,Sample Stall 04
Bangus,244.00,Sample Stall 04
Pork Liempo,392.00,Sample Stall 05
Beef Brisket,428.00,Sample Stall 05
Chicken Breast,224.00,Sample Stall 05
Premium Rice,54.00,Sample Stall 06
Regular Milled Rice,45.50,Sample Stall 06
Bangus,240.00,Sample Stall 07
Tilapia,180.00,Sample Stall 07
Onion,130.00,Sample Stall 08
Potato,95.00,Sample Stall 08
