Commodity,PriceList,StoreName
Premium Rice,56.00,Sample Stall 01
Regular Milled Rice,47.00,Sample Stall 01
Chicken Eggs Medium,100.00,Sample Stall 02
Chicken Eggs Large,112.00,Sample Stall 02
Duck Eggs,125.00,Sample Stall 02
Tomato,82.00,Sample Stall 03
Onion,132.00,Sample Stall 03
Potato,96.00,Sample Stall 03
Tilapia,185.00,Sample Stall 04
Galunggong,218.00,Sample Stall 04
Bangus,242.00,Sample Stall 04
Pork Liempo,395.00,Sample Stall 05
Beef Brisket,430.00,Sample Stall 05
Chicken Breast,225.00,Sample Stall 05
Premium Rice,55.00,Sample Stall 06
Regular Milled Rice,46.00,Sample Stall 06
Bangus,241.00,Sample Stall 07
Tilapia,182.00,Sample Stall 07
Onion,131.00,Sample Stall 08
Potato,94.00,Sample Stall 08
