StoreName,OwnerName,MarketName,Address,City
Sample Stall 01,Juan Dela Cruz,Lingayen Public Market,"Lingayen Public Market, Poblacion",Lingayen
Sample Stall 02,Maria Santos,Lingayen Public Market,"Lingayen Public Market, Poblacion",Lingayen
Sample Stall 03,Pedro Reyes,Lingayen Public Market,"Lingayen Public Market, Poblacion",Lingayen
Sample Stall 04,Ana Garcia,Lingayen Public Market,"Lingayen Public Market, Poblacion",Lingayen
Sample Stall 05,Roberto Mendoza,Lingayen Public Market,"Lingayen Public Market, Poblacion",Lingayen
Sample Stall 06,Elena Ramos,Lingayen Public Market,"Lingayen Public Market, Poblacion",Lingayen
Sample Stall 07,Jose Bautista,Lingayen Public Market,"Lingayen Public Market, Poblacion",Lingayen
Sample Stall 08,Lorna Flores,Lingayen Public Market,"Lingayen Public Market, Poblacion",Lingayen
Sample Stall 09,Antonio Cruz,Lingayen Public Market,"Lingayen Public Market, Poblacion",Lingayen
Sample Stall 10,Rosa Aquino,Lingayen Public Market,"Lingayen Public Market, Poblacion",Lingayen
